problem_id,contest_id,problem_index,rating,difficulty_tier,tier_name,total_submissions,acceptance_rate,wa_ratio,tle_ratio,mle_ratio,re_ratio,avg_solve_time_min,median_solve_time_min,first_solve_time_min,unique_solvers,solver_rating_mean,solver_rating_std,attempts_per_solver,tag_count,tags,contest_position,round_type,solve_pressure,elite_selectivity,attempt_waste
CF_00001,860,B,1100,1,Beginner,57859,0.8153,0.167,0.052,0.012,0.022,17.27,15.39,4.63,41524,1487,307,1.13,2,dfs and bfs|implementation,2,Educational,3.189,0.1325,0.189
CF_00002,1495,A,900,1,Beginner,32339,0.7428,0.241,0.005,0.013,0.023,14.83,12.7,2.86,21604,1461,291,1.07,2,strings|number theory,1,Div1,3.815,0.1718,0.258
CF_00003,779,A,1000,1,Beginner,8988,0.6654,0.14,0.074,0.013,0.023,15.16,14.13,4.02,5260,936,286,1.26,1,greedy,1,Div2,5.072,0.1958,0.176
CF_00004,450,B,900,1,Beginner,19132,0.7692,0.194,0.059,0.012,0.022,10.57,9.61,1.74,12977,899,257,1.0,2,math|constructive,2,Educational,2.439,0.1565,0.194
CF_00005,543,B,1200,2,Easy-Medium,32303,0.8575,0.231,0.048,0.011,0.021,14.12,11.7,4.7,24309,1002,231,1.0,2,data structures|constructive,2,Div2,2.012,0.1073,0.231
CF_00006,1222,A,900,1,Beginner,42342,0.8355,0.155,0.071,0.012,0.022,15.63,13.26,5.46,30287,1089,272,1.07,1,constructive,1,Div4,2.571,0.1177,0.166
CF_00007,7,A,800,1,Beginner,29293,0.8003,0.133,0.044,0.012,0.022,5.66,5.15,0.98,22267,1044,339,1.0,2,math|binary search,1,Educational,1.131,0.1518,0.133
CF_00008,1001,A,1200,2,Easy-Medium,49003,0.6705,0.16,0.045,0.013,0.023,18.61,15.98,5.17,31185,977,272,1.23,2,trees|dfs and bfs,1,Div3,6.131,0.2097,0.197
CF_00009,1940,B,800,1,Beginner,51129,0.7753,0.255,0.031,0.012,0.022,13.16,11.76,2.18,38731,1426,281,1.0,2,graphs|data structures,2,Educational,2.958,0.1703,0.255
CF_00010,693,A,1100,1,Beginner,49845,0.8149,0.064,0.005,0.012,0.022,17.92,16.3,5.24,36498,1059,241,1.37,3,two pointers|greedy|implementation,1,Div2,3.316,0.1355,0.088
CF_00011,498,B,800,1,Beginner,34254,0.6857,0.193,0.054,0.013,0.023,11.41,10.7,3.67,22007,1108,316,1.41,1,graphs,2,Educational,3.585,0.2019,0.272
CF_00012,390,A,1000,1,Beginner,44894,0.6653,0.234,0.059,0.013,0.023,9.77,8.93,2.78,26950,1370,308,1.34,2,flows|greedy,1,Div2,3.269,0.2009,0.314
CF_00013,986,A,1100,1,Beginner,29490,0.7499,0.168,0.061,0.013,0.023,16.12,15.02,4.19,21200,1115,434,1.56,4,data structures|trees|implementation|graphs,1,Educational,4.031,0.1798,0.262
CF_00014,446,A,900,1,Beginner,59932,0.5741,0.218,0.05,0.014,0.024,7.27,6.7,1.5,32748,1603,268,1.11,2,two pointers|graphs,1,Div3,3.095,0.2327,0.242
CF_00015,246,A,800,1,Beginner,28158,0.6663,0.197,0.033,0.013,0.023,9.68,9.01,1.76,16400,1091,305,1.32,2,constructive|flows,1,Div4,3.231,0.1944,0.26
CF_00016,20,A,1100,1,Beginner,42402,0.8409,0.131,0.018,0.012,0.022,9.58,9.02,1.83,32141,1088,283,1.0,2,math|two pointers,1,Div2,1.524,0.1206,0.131
CF_00017,17,B,1000,1,Beginner,30262,0.6401,0.245,0.063,0.014,0.024,11.27,9.75,1.85,17568,1236,291,1.65,2,math|number theory,2,Educational,4.055,0.2089,0.404
CF_00018,1001,A,1100,1,Beginner,46349,0.6507,0.133,0.006,0.013,0.023,14.07,11.73,3.67,28450,1333,282,1.79,1,constructive,1,Educational,4.914,0.2144,0.238
CF_00019,1118,A,900,1,Beginner,62190,0.6224,0.245,0.06,0.014,0.024,12.95,11.92,3.59,35678,1261,285,1.94,2,dp|greedy,1,Div2,4.891,0.2166,0.475
CF_00020,1272,B,800,1,Beginner,50441,0.6175,0.219,0.058,0.014,0.024,10.51,9.71,3.39,27483,1740,312,1.34,1,trees,2,Div4,4.02,0.2084,0.293
CF_00021,784,A,1200,2,Easy-Medium,58395,0.8913,0.237,0.004,0.011,0.021,15.5,12.76,4.61,49667,761,244,1.61,3,trees|implementation|math,1,Div2,1.685,0.0925,0.382
CF_00022,679,A,800,1,Beginner,47636,0.6705,0.224,0.01,0.013,0.023,11.03,9.37,1.71,30735,1659,302,1.59,4,math|strings|constructive|dfs and bfs,1,Educational,3.636,0.2126,0.356
CF_00023,1452,A,800,1,Beginner,67029,0.8783,0.195,0.086,0.011,0.021,12.85,11.26,3.8,53955,1360,268,1.4,2,number theory|implementation,1,Div1,1.564,0.098,0.273
CF_00024,669,A,1000,1,Beginner,70719,0.7222,0.1,0.033,0.013,0.023,12.76,11.06,2.09,45495,868,271,1.02,3,geometry|math|dfs and bfs,1,Div4,3.544,0.1787,0.102
CF_00025,953,B,1000,1,Beginner,36782,0.6118,0.225,0.086,0.014,0.024,9.09,7.66,2.4,20016,1526,227,1.79,1,trees,2,Div3,3.527,0.2112,0.403
CF_00026,51,A,1000,1,Beginner,33833,0.7422,0.06,0.058,0.013,0.023,13.57,11.27,3.43,24015,1094,265,1.01,3,constructive|math|implementation,1,Div2,3.497,0.183,0.061
CF_00027,449,A,800,1,Beginner,42463,0.8221,0.179,0.028,0.012,0.022,9.06,7.66,2.62,32651,1421,260,1.1,1,trees,1,Div4,1.612,0.1368,0.197
CF_00028,1702,B,900,1,Beginner,48483,0.5891,0.135,0.062,0.014,0.024,14.44,12.09,3.51,25454,1177,239,1.45,3,two pointers|number theory|geometry,2,Div4,5.932,0.2157,0.196
CF_00029,166,A,1100,1,Beginner,35005,0.7377,0.22,0.015,0.013,0.023,13.07,11.19,3.99,23425,762,260,1.24,3,implementation|math|strings,1,Educational,3.429,0.1756,0.273
CF_00030,13,A,900,1,Beginner,49226,0.7918,0.188,0.052,0.012,0.022,10.49,9.24,1.7,37032,1355,309,1.0,4,dp|flows|trees|number theory,1,Educational,2.184,0.1566,0.188
CF_00031,1722,A,1000,1,Beginner,38232,0.8053,0.241,0.004,0.012,0.022,7.86,7.26,2.59,28115,1144,258,1.14,2,constructive|data structures,1,Div2,1.53,0.1431,0.275
CF_00032,570,A,1000,1,Beginner,72980,0.5975,0.073,0.037,0.014,0.024,8.98,7.46,2.12,38540,1039,306,1.37,2,two pointers|strings,1,Div4,3.616,0.2125,0.1
CF_00033,1273,A,1200,2,Easy-Medium,54569,0.6916,0.225,0.011,0.013,0.023,12.99,12.26,2.53,32275,1159,381,1.62,1,implementation,1,Div1,4.007,0.1824,0.365
CF_00034,1903,A,900,1,Beginner,43026,0.8217,0.235,0.071,0.012,0.022,10.56,9.17,2.86,33625,1282,352,1.0,1,math,1,Div1,1.883,0.1394,0.235
CF_00035,1092,A,1000,1,Beginner,17536,0.6299,0.094,0.108,0.014,0.024,14.39,13.35,2.86,10371,1558,278,1.19,3,trees|number theory|data structures,1,Div3,5.326,0.2189,0.112
CF_00036,1262,B,1000,1,Beginner,39486,0.6911,0.186,0.039,0.013,0.023,9.69,8.49,2.16,23738,1380,324,1.09,1,dfs and bfs,2,Div3,2.994,0.1857,0.203
CF_00037,373,A,1100,1,Beginner,44172,0.6206,0.246,0.006,0.014,0.024,11.93,11.23,2.45,25330,1409,226,1.6,2,strings|dp,1,Div3,4.527,0.2176,0.394
CF_00038,918,B,1000,1,Beginner,47311,0.8764,0.102,0.083,0.011,0.021,12.21,10.03,4.15,37877,1049,344,1.27,3,geometry|two pointers|constructive,2,Educational,1.509,0.099,0.13
CF_00039,1478,A,800,1,Beginner,49437,0.7552,0.167,0.017,0.012,0.022,9.79,8.71,2.3,35144,1102,289,1.0,1,math,1,Div2,2.398,0.1741,0.167
CF_00040,29,A,900,1,Beginner,33686,0.8559,0.226,0.022,0.011,0.021,14.91,12.76,4.0,28183,1623,293,1.0,3,math|implementation|strings,1,Div3,2.148,0.1205,0.226
CF_00041,234,B,1200,2,Easy-Medium,32141,0.7047,0.248,0.033,0.013,0.023,12.45,11.62,3.09,20633,1118,326,1.0,2,graphs|dp,2,Educational,3.678,0.1896,0.248
CF_00042,1861,A,800,1,Beginner,37987,0.7406,0.17,0.034,0.013,0.023,15.47,13.3,5.4,26131,1500,340,1.56,3,implementation|trees|dfs and bfs,1,Educational,4.014,0.1784,0.265
CF_00043,6,A,1000,1,Beginner,37077,0.8347,0.106,0.055,0.012,0.022,20.67,17.21,6.25,26631,1475,267,1.0,1,dfs and bfs,1,Div2,3.417,0.1187,0.106
CF_00044,1116,A,1000,1,Beginner,25897,0.757,0.165,0.06,0.012,0.022,11.65,10.24,3.35,18255,865,352,1.0,2,data structures|implementation,1,Div2,2.831,0.1713,0.165
CF_00045,897,B,900,1,Beginner,25476,0.5625,0.232,0.036,0.014,0.024,14.4,13.21,3.8,13464,1426,285,1.75,2,math|dfs and bfs,2,Educational,6.302,0.2312,0.406
CF_00046,1063,A,800,1,Beginner,20417,0.6109,0.208,0.006,0.014,0.024,15.31,13.9,4.93,11841,1270,283,1.44,3,number theory|dp|trees,1,Educational,5.958,0.2257,0.3
CF_00047,1667,B,1100,1,Beginner,32489,0.7458,0.229,0.037,0.013,0.023,16.37,14.42,3.79,21102,634,281,1.33,2,two pointers|math,2,Div4,4.16,0.1651,0.305
CF_00048,1281,C,1200,2,Easy-Medium,28802,0.6893,0.168,0.068,0.013,0.023,16.25,14.41,5.65,17942,1193,262,1.0,1,strings,3,Educational,5.049,0.1935,0.168
CF_00049,1724,A,1000,1,Beginner,42533,0.6594,0.064,0.025,0.013,0.023,8.34,6.97,2.88,24416,1387,267,1.22,2,dfs and bfs|binary search,1,Div2,2.842,0.1955,0.078
CF_00050,1770,B,900,1,Beginner,35884,0.7308,0.217,0.009,0.013,0.023,12.19,10.43,3.86,24169,949,319,1.2,2,data structures|number theory,2,Div2,3.282,0.1813,0.26
CF_00051,681,A,800,1,Beginner,38345,0.8768,0.057,0.072,0.011,0.021,6.98,5.98,1.46,30719,1218,163,1.0,1,dfs and bfs,1,Div3,0.86,0.0987,0.057
CF_00052,1015,B,1100,1,Beginner,42990,0.6327,0.298,0.016,0.014,0.024,15.38,13.38,4.94,24792,1218,260,1.56,3,binary search|data structures|constructive,2,Div2,5.65,0.2118,0.465
CF_00053,1277,A,800,1,Beginner,64923,0.8863,0.146,0.046,0.011,0.021,13.84,12.98,2.12,56167,1146,339,1.49,1,trees,1,Div3,1.573,0.0983,0.218
CF_00054,1530,B,1200,2,Easy-Medium,37877,0.7421,0.138,0.08,0.013,0.023,5.11,4.61,1.67,26149,1110,240,1.24,1,constructive,2,Div2,1.318,0.178,0.171
CF_00055,349,A,800,1,Beginner,36750,0.7365,0.113,0.006,0.013,0.023,8.31,7.79,1.32,24325,1374,299,1.0,1,dfs and bfs,1,Div2,2.189,0.1744,0.113
CF_00056,1936,A,900,1,Beginner,64418,0.8067,0.146,0.024,0.012,0.022,14.54,12.8,2.92,49606,1168,289,1.16,3,constructive|dfs and bfs|graphs,1,Educational,2.811,0.1489,0.169
CF_00057,1700,A,1000,1,Beginner,52591,0.7141,0.257,0.028,0.013,0.023,10.34,9.83,3.32,33675,1297,320,1.44,1,geometry,1,Div1,2.957,0.1831,0.37
CF_00058,1389,B,1100,1,Beginner,40725,0.727,0.245,0.005,0.013,0.023,20.04,18.38,6.35,26051,1150,346,1.0,3,implementation|constructive|data structures,2,Div3,5.472,0.1746,0.245
CF_00059,412,B,1200,2,Easy-Medium,38641,0.5901,0.262,0.006,0.014,0.024,16.85,14.49,4.01,19650,1035,233,1.29,1,geometry,2,Div2,6.906,0.2084,0.338
CF_00060,1733,A,900,1,Beginner,47859,0.5408,0.17,0.085,0.015,0.025,12.73,11.95,4.31,24926,1389,322,1.61,3,two pointers|greedy|graphs,1,Div4,5.844,0.2392,0.274
CF_00061,672,B,1100,1,Beginner,27182,0.8389,0.217,0.037,0.012,0.022,8.34,7.56,2.23,19703,1345,331,1.0,1,dp,2,Educational,1.343,0.1168,0.217
CF_00062,859,A,1100,1,Beginner,42814,0.752,0.232,0.005,0.012,0.022,11.93,10.0,4.05,27773,1483,274,1.53,3,graphs|binary search|two pointers,1,Educational,2.958,0.1609,0.355
CF_00063,125,B,1100,1,Beginner,41645,0.6679,0.172,0.052,0.013,0.023,9.68,9.13,1.52,27080,1258,260,1.58,3,greedy|constructive|strings,2,Div3,3.214,0.2159,0.272
CF_00064,1201,B,1000,1,Beginner,36642,0.9532,0.222,0.017,0.01,0.02,14.88,13.44,5.12,34179,1335,324,1.03,3,implementation|greedy|trees,2,Div2,0.696,0.0436,0.229
CF_00065,33,A,900,1,Beginner,45541,0.6595,0.219,0.006,0.013,0.023,10.84,10.28,3.77,25959,1126,220,1.23,3,graphs|dp|strings,1,Div3,3.692,0.1941,0.269
CF_00066,939,B,900,1,Beginner,41367,0.7666,0.154,0.047,0.012,0.022,16.27,14.1,4.37,29492,1347,262,1.24,3,data structures|flows|constructive,2,Div3,3.796,0.1664,0.191
CF_00067,1459,B,1100,1,Beginner,46350,0.7129,0.131,0.048,0.013,0.023,11.53,10.81,1.9,28366,973,337,1.46,1,constructive,2,Educational,3.309,0.1757,0.191
CF_00068,1695,A,1000,1,Beginner,29544,0.8026,0.15,0.069,0.012,0.022,7.78,6.49,2.18,22823,1429,326,1.0,2,data structures|implementation,1,Div3,1.535,0.1525,0.15
CF_00069,1202,B,1000,1,Beginner,25609,0.8065,0.15,0.06,0.012,0.022,12.75,11.6,3.12,18715,1860,304,1.18,3,strings|trees|graphs,2,Div1,2.468,0.1414,0.177
CF_00070,1736,A,1100,1,Beginner,24629,0.6693,0.09,0.085,0.013,0.023,16.18,15.19,2.59,14234,1146,281,1.6,2,graphs|constructive,1,Div2,5.349,0.1911,0.144
CF_00071,60,B,900,1,Beginner,32549,0.8128,0.193,0.05,0.012,0.022,13.51,12.07,4.1,24401,1502,246,1.0,2,constructive|flows,2,Div3,2.53,0.1404,0.193
CF_00072,323,A,900,1,Beginner,38887,0.871,0.198,0.023,0.011,0.021,13.76,12.45,2.25,29192,1367,283,1.0,2,binary search|data structures,1,Div3,1.775,0.0969,0.198
CF_00073,234,A,1000,1,Beginner,37785,0.7938,0.23,0.023,0.012,0.022,14.4,13.22,2.3,27147,1143,327,1.29,2,binary search|math,1,Educational,2.97,0.1481,0.297
CF_00074,246,A,1000,1,Beginner,32697,0.7513,0.159,0.009,0.012,0.022,12.51,10.9,3.38,21555,1174,323,1.21,1,math,1,Div3,3.11,0.1639,0.192
CF_00075,1175,A,800,1,Beginner,28628,0.7216,0.219,0.063,0.013,0.023,13.52,12.26,2.99,18729,1558,237,1.54,2,greedy|flows,1,Div4,3.764,0.1822,0.337
CF_00076,162,A,1000,1,Beginner,38701,0.6294,0.21,0.049,0.014,0.024,10.35,9.32,3.28,23379,1641,305,1.37,1,number theory,1,Educational,3.837,0.2239,0.288
CF_00077,525,A,1000,1,Beginner,56325,0.6118,0.211,0.097,0.014,0.024,17.08,15.19,3.22,33580,1404,296,1.2,2,graphs|implementation,1,Div2,6.633,0.2315,0.253
CF_00078,310,B,900,1,Beginner,45355,0.766,0.18,0.028,0.012,0.022,17.36,15.28,4.56,33512,1135,236,1.0,2,number theory|strings,2,Div3,4.062,0.1729,0.18
CF_00079,788,B,1000,1,Beginner,54380,0.7605,0.161,0.061,0.012,0.022,16.63,14.31,4.0,35563,1343,360,1.38,3,flows|greedy|number theory,2,Educational,3.983,0.1567,0.222
CF_00080,1324,A,1000,1,Beginner,14608,0.6119,0.208,0.036,0.014,0.024,16.56,13.98,4.49,8121,1064,189,1.46,3,flows|strings|geometry,1,Educational,6.427,0.2157,0.304
CF_00081,1143,A,900,1,Beginner,61165,0.7544,0.234,0.035,0.012,0.022,10.62,9.97,2.41,39533,1089,299,1.0,2,strings|greedy,1,Div2,2.608,0.1588,0.234
CF_00082,635,B,1100,1,Beginner,34735,0.7648,0.253,0.005,0.012,0.022,11.52,9.57,3.26,24847,1155,319,1.05,2,graphs|number theory,2,Div2,2.708,0.1682,0.266
CF_00083,394,A,1100,1,Beginner,26053,0.8315,0.198,0.005,0.012,0.022,15.53,14.12,3.97,19433,880,264,1.0,2,graphs|implementation,1,Educational,2.617,0.1257,0.198
CF_00084,1477,A,900,1,Beginner,49311,0.72,0.151,0.091,0.013,0.023,8.96,8.2,2.29,33030,1225,247,1.0,2,graphs|data structures,1,Div2,2.508,0.1876,0.151
CF_00085,946,B,1000,1,Beginner,53544,0.7432,0.16,0.005,0.013,0.023,8.83,8.14,1.74,37883,973,297,1.99,3,implementation|strings|constructive,2,Educational,2.267,0.1817,0.318
CF_00086,584,C,1200,2,Easy-Medium,39549,0.8065,0.029,0.03,0.012,0.022,15.38,12.89,3.08,29412,830,238,1.0,1,flows,3,Div2,2.976,0.1439,0.029
CF_00087,460,A,800,1,Beginner,42827,0.6484,0.225,0.033,0.014,0.024,5.74,4.87,1.38,23796,1472,284,1.44,2,implementation|binary search,1,Div3,2.017,0.1954,0.324
CF_00088,442,A,800,1,Beginner,39592,0.7573,0.173,0.014,0.012,0.022,13.55,12.73,3.31,27315,1296,322,1.0,2,data structures|greedy,1,Div3,3.288,0.1674,0.173
